"40706"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"05/01/1990", "12/01/1990", "7", "-2.13", "-8.03", "-1.15", "-1.19"
"01/01/1991", "02/01/1991", "1", "-2.4", "-2.4", "-2.4", "-2.4"
"10/01/1995", "01/01/1996", "3", "-2.76", "-4.64", "-1.55", "-1.87"
"03/01/1996", "04/01/1996", "1", "-2.28", "-2.28", "-2.28", "-2.28"
"12/01/1999", "01/01/2000", "1", "-1.65", "-1.65", "-1.65", "-1.65"
"05/01/2000", "06/01/2000", "1", "-1.93", "-1.93", "-1.93", "-1.93"
"03/01/2004", "04/01/2004", "1", "-1.52", "-1.52", "-1.52", "-1.52"
"06/01/2006", "10/01/2006", "4", "-1.65", "-3.3", "-0.83", "-0.61"
"02/01/2007", "03/01/2007", "1", "-1.94", "-1.94", "-1.94", "-1.94"
"01/01/2008", "02/01/2008", "1", "-2.6", "-2.6", "-2.6", "-2.6"
"04/01/2008", "07/01/2008", "3", "-2.39", "-3.84", "-1.28", "-1.28"
"05/01/2009", "06/01/2009", "1", "-2.67", "-2.67", "-2.67", "-2.67"
"11/01/2010", "02/01/2011", "3", "-3.81", "-7.19", "-2.4", "-2.54"
"03/01/2013", "04/01/2013", "1", "-1.85", "-1.85", "-1.85", "-1.85"
"01/01/2017", "04/01/2017", "3", "-2.22", "-4.87", "-1.62", "-1.61"
"06/01/2021", "07/01/2021", "1", "-1.73", "-1.73", "-1.73", "-1.73"
"12/01/2022", "01/01/2023", "1", "-1.81", "-1.81", "-1.81", "-1.81"
